country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2015,2014,2016,2017,2018,2019
Georgia,,6.86,8.24,6.62,7.43,6.19,6.15,6.07,7.48,8.45,8.28,8.65,9.15,9.76,10.5303,10.2871,10.6969,9.63,9.36,9.18
Germany,,14.5102,14.5501,14.3913,13.9976,13.304,12.769,12.3555,12.5216,12.7577,13.239,13.2195,12.8716,13.4192,13.2667,13.3754,13.0238,12.5764,12.883,12.3139
Ghana,,5.78,6.05,6.36,6.64,6.85,7.04,7.2,7.5,7.63,7.83,7.8,7.79,7.73,7.31,7.53,7.2,6.96,6.64,6.55
Greece,,3.05,2.91,3.31,3.13,3.65,3.65,2.99,3.37,3.59,3.48,4.37,4.77,5.01,5.04,5.33,4.67,5.11,5.06,5.09
Grenada,,0.367,3.24,2.39,4.62,3.11,5.1,1.95,2.41,0.743,0.937,1.7,1.71,1.19,0.703,0.565,0.973,0.636,0.292,0.655
Guatemala,,10.7369,10.5438,10.7966,10.9522,11.3614,10.7479,8.28,8.02,7.88,7.29,6.57,6.09,5.89,5.83,5.76,5.71,5.62,5.95,5.91
Guinea,,5.43,5.57,5.6,5.67,5.6,5.96,6.29,6.34,6.4,6.77,7,7.07,7.28,7.17,7.13,7.09,6.96,6.86,6.98
Guinea-Bissau,,9.32,9.06,8.8,8.77,8.43,8.38,8.4,8.43,8.51,8.36,8.17,7.98,8.06,7.25,7.75,7.31,7.3,7.22,6.97
Guyana,,34.6926,34.4515,33.2079,32.5458,30.9063,30.6729,30.9068,29.9772,32.8516,33.3145,32.5884,35.0422,38.2377,37.3274,37.2122,37.8992,38.4608,39.46,40.2849
Haiti,,9.48,9.32,9.29,9.01,9.42,9.59,10.0112,10.0631,10.2878,10.9369,10.1292,9.97,9.93,10.0373,9.98,9.82,9.72,9.73,9.64
Honduras,,2.1,2.13,2.16,2.13,2.15,2.16,2.14,2.09,2.01,1.97,1.91,3.25,3.23,4.02,3.44,2,2.07,2.04,2.06
Hungary,,29.844,28.585,28.0149,27.4882,26.3851,24.9489,24.9855,25.3917,25.3587,25.5199,25.1392,24.8001,22.0971,19.9425,20.4447,18.716,17.458,17.7308,16.6483
Iceland,,12.7794,12.2251,12.4559,12.3873,11.8491,12.4616,14.7985,14.8345,14.2788,12.7549,11.5929,13.4962,13.8579,14.2571,15.7359,12.9736,12.1932,10.8088,11.8688
India,,16.5982,16.1191,15.3482,15.1616,15.4507,15.6223,15.269,15.0536,14.5255,14.6421,14.6593,14.2771,13.6952,12.2715,12.7865,12.0517,12.0383,12.5513,12.6863
Indonesia,,3.39,3.32,3.24,3.16,3.01,2.9,2.85,2.77,2.7,2.64,2.59,2.52,2.46,2.36,2.4,2.39,2.41,2.41,2.42
Iran (Islamic Republic of),8,7.76,7.52,6.96,6.73,6.25,5.99,6.44,6.18,6.19,6.31,6.75,6.74,6.61,6.32,6.48,6.22,6.03,5.67,5.23
Iraq,3.78,3.75,3.75,3.81,3.77,3.77,3.84,3.69,3.56,3.74,3.89,4.05,4.12,4.23,4.07,4.1,4.04,3.94,3.73,3.61
Ireland,,13.1866,12.2218,12.0898,11.9403,11.8342,10.9221,11.4555,12.2195,14.0308,11.9327,12.5034,12.3721,11.3681,9.31,10.9768,10.0167,10.0021,9.86,9.62
Israel,,6.37,5.86,6.4,6.13,6.73,5.47,5.16,5.27,5.95,6.66,5.65,6.07,5.2,4.54,5.13,5.2,5.14,5.4,5.32
Italy,,7.34,7.39,7.35,7.15,6.7,6.67,6.65,6.86,6.98,6.88,7.35,7.58,7.53,7.13,7.24,6.57,7.05,6.74,6.68
Jamaica,,1.85,1.8,1.73,1.59,1.49,1.53,1.75,2.19,2.31,1.93,2.24,2.08,2.01,2.2,2.2,2.23,2.25,2.29,2.38
Japan,23.9019,23.1947,23.8059,25.5544,24.0941,24.3378,23.892,24.9678,24.4082,24.9272,24.1122,23.3558,21.632,21.3729,19.1336,20.0735,17.4869,17.0125,16.7151,15.3445
Jordan,2.52,2.44,2.32,2.33,2.23,2.01,1.86,1.74,1.67,1.58,1.52,1.51,1.5,1.46,1.46,1.45,1.48,1.5,1.58,1.64
Kazakhstan,,39.0058,38.2034,39.1788,39.7455,39.2432,37.9589,38.0426,34.5851,30.2565,29.9393,28.7263,27.6139,26.3301,23.2447,24.1867,21.7351,20.8072,18.96,17.5658
Kenya,,6.92,6.43,6.07,5.65,6.04,6.02,6.32,6.23,6.01,5.95,5.88,5.88,5.89,5.46,5.67,5.43,5.6,6,6.11
Kiribati,31.2227,31.1435,30.8753,29.357,29.2842,30.0958,29.3604,30.9054,31.4904,30.9406,30.7047,30.8118,29.9941,30.4528,29.7283,29.7642,29.5147,29.5647,28.0806,28.2897
Kuwait,2.98,2.61,2.79,2.59,2.66,2.64,2.67,2.57,2.9,2.67,2.46,2.29,2.38,2.42,2.56,2.5,2.63,2.71,2.8,2.91
Kyrgyzstan,,14.0763,14.0311,13.244,12.5885,13.1862,13.1481,12.6376,12.2566,11.9102,11.3811,11.2726,10.9232,10.4592,9.89,10.4743,8.62,8.26,8,7.39
Lao People's Democratic Republic,6.85,6.89,6.67,6.54,6.48,6.51,6.43,6.31,6.26,6.13,6,5.92,5.69,5.67,5.59,5.53,5.59,5.63,5.62,5.43
Latvia,,32.1789,31.5235,29.0538,26.7507,26.534,23.1743,20.8956,26.394,26.336,22.4937,22.6812,23.5264,20.6151,21.5967,20.7398,21.2656,21.4495,18.085,20.1248
Lebanon,2.79,2.7,2.66,2.64,2.66,2.68,2.47,2.85,2.91,2.98,3.01,3.02,2.95,2.95,2.79,2.76,2.71,2.96,2.51,2.77
Lesotho,,27.3474,29.1638,31.9463,33.4842,33.6208,40.2682,44.9609,57.7664,63.2655,65.4339,69.5295,79.1082,87.6391,92.4021,92.6412,86.9973,78.3161,76.56651,72.4357
Liberia,,4.78,4.78,4.76,4.79,4.66,4.75,4.89,4.83,4.82,4.9,5,4.99,4.91,4.49,4.91,4.48,4.46,4.42,4.45
Libya,4.88,5.05,5.2,5.14,4.42,4.33,4.23,4.9,5.37,5.73,5.58,5.05,5.71,4.8,5.56,6.26,4.95,5.53,5.76,4.48
Lithuania,,47.0835,47.0142,45.3752,43.2669,42.7235,35.2442,34.5115,37.8464,39.1591,37.2423,38.0744,35.0478,40.4508,34.8585,35.5929,32.7687,29.6731,27.3733,26.1436
Luxembourg,,16.7235,16.0511,15.3199,12.0842,13.39,15.2034,14.0355,13.4451,11.2979,12.013,11.9241,11.3419,11.2612,12.1749,12.6587,10.1613,9.84,10.6293,11.2655
Madagascar,,5.7,5.83,5.94,5.93,5.81,5.79,5.68,5.68,5.65,5.67,5.69,5.57,5.56,5.48,5.61,5.51,5.47,5.46,5.47
Malawi,,9.78,8.82,8.21,7.75,7.23,7.47,7.75,7.64,8.03,8.15,7.26,6.76,6.42,6.19,6.28,6.07,5.85,5.59,5.41
Malaysia,4.65,4.45,4.45,4.65,4.65,4.58,4.47,4.38,4.52,4.61,4.51,4.55,4.56,4.37,4.83,4.64,5.06,5.35,5.44,5.71
Maldives,,3.73,3.51,3.5,2.85,3.02,3.11,3.01,3.05,2.92,2.7,2.57,2.63,2.57,2.79,2.69,3.11,3.1,2.91,2.74
Mali,,4.72,4.66,4.55,4.53,4.6,4.51,4.55,4.61,4.6,4.47,4.46,4.48,4.46,4.28,4.39,4.21,4.1,4.08,4.1
Malta,,7.23,5.7,5.39,5.87,5.55,6.77,5.54,6.41,6.87,7.54,6.76,6.04,6.81,7.18,7.11,5.81,5.47,5.99,6.06
Mauritania,,3.43,3.37,3.28,3.33,3.21,3.23,3.19,3.1,3.13,3.08,3.03,3.14,3.1,3.03,3.06,3.04,3.08,3.09,3.12
Mauritius,,10.0956,11.2812,7.69,8.22,8.98,9.21,10.3135,6.65,9.06,7.76,9.04,9.64,8.16,7.94,10.2127,8.09,9.62,8.7,9.47
Mexico,,3.8,3.85,3.95,3.97,4.09,4.01,4.06,4.36,4.6,4.51,5.24,4.86,5.19,5.56,5.65,5.56,5.9,5.36,5.31
Micronesia (Federated States of),23.9805,23.3907,22.5355,22.7662,23.8083,24.5843,24.5826,24.3846,24.4677,24.4947,24.4522,25.2007,25.5099,25.5624,26.9778,25.7828,26.9817,27.6814,28.2108,28.2149
Mongolia,21.9792,22.2798,21.6829,23.124,23.6687,24.0255,23.6895,23.5963,23.799,23.6339,23.3526,22.7281,21.7209,21.0304,20.0053,20.0102,20.0831,19.2117,18.6477,17.8852
Montenegro,20.8258,19.8925,20.2244,20.9113,21.2146,21.7422,22.3488,20.9663,20.8543,20.9264,20.3311,20.9192,20.9856,20.4395,20.7151,20.58,20.8062,21.112,21.198,20.9526
Morocco,9.9,9.9,9.62,9.61,9.52,9.4,9.27,9.32,9.28,9.24,9.15,9.17,8.88,7.95,7.4,7.65,7.2,7.09,7.15,7.18
Mozambique,,12.3873,12.3279,12.3041,12.4065,12.5546,12.5924,12.5981,13.471,14.5117,14.8991,15.261,15.7126,15.3202,13.9092,14.3761,13.5523,13.3957,13.541,13.6464
Myanmar,,4.43,4.37,4.28,4.24,4.13,4.08,3.89,3.58,3.59,3.47,3.42,3.31,3.25,3.18,3.23,3.19,3,2.89,2.9
Namibia,,18.8332,18.6565,18.1989,16.6801,17.7696,17.7424,17.3227,14.0572,13.1177,12.8811,11.3992,10.2058,10.167,11.6421,10.9197,10.6843,10.9087,9.87,9.73
Nepal,,8.11,7.99,7.84,7.73,7.91,7.73,8,8.28,8.54,8.68,8.93,8.88,8.69,8.52,8.49,8.54,8.65,8.82,8.99
Netherlands,,9.61,10.007,9.6,9.73,9.8,9.57,8.42,8.99,9.47,9.81,10.0601,10.7158,11.8491,11.7818,11.5983,11.9083,12.0784,11.3667,11.8436
New Zealand,12.4943,13.9105,12.4921,13.6529,12.6307,12.9308,13.0895,12.3394,12.4174,11.5256,12.6426,11.3861,12.6686,12.1718,11.7202,11.3024,12.1574,12.7145,11.3615,11.0467
Nicaragua,,5.16,5.03,5.57,5.42,5.21,4.6,4.88,5.06,5.02,4.77,5.5,4.41,5.27,4.23,4.53,4.35,4.44,4.54,4.35
Niger,,5.13,5.09,5.21,5.11,5.26,5.23,5.31,5.24,5.27,5.34,5.37,5.46,5.52,5.37,5.52,5.29,5.25,5.25,5.26
North Macedonia,,12.8091,9.71,9.09,10.605,8.57,9.66,9.39,9.42,9.68,7.07,7.39,9.97,9.74,9.17,9.25,9.25,9.3,9.38,9.39
Norway,,14.1999,12.0904,11.8463,12.8328,12.4369,12.7586,11.7857,11.7517,12.9538,12.3541,13.2617,11.4272,11.7768,12.4583,11.6413,12.6146,12.1443,11.9511,11.7756
Oman,6.23,6.21,5.87,6.11,5.85,5.95,6.53,6.83,6.75,6.5,6.74,6.12,5.39,5.29,5.02,5.11,4.72,4.74,4.69,4.85
Pakistan,8.79,8.93,9.05,9.14,9.17,8.99,9.18,9.05,8.97,8.84,8.8,8.74,8.78,8.86,8.97,8.9,9.09,9.09,8.92,8.93
Panama,,5.74,5.29,5.92,5.81,5,5.65,4.87,5.37,4.79,4.17,3.8,3.61,3.41,2.9,4.08,3.27,3.17,2.9,2.86
Papua New Guinea,2.11,2.28,2.26,2.35,2.39,2.41,2.42,2.54,2.51,2.41,2.55,2.56,2.7,2.69,2.95,2.89,2.95,2.83,2.86,2.95
Paraguay,,3.05,3.57,3.42,4.24,4.37,4.24,3.82,3.58,4.36,3.53,4.56,4.58,4.93,5.73,5.86,5.29,6.05,5.95,6.03
Peru,,2.9,2.9,2.98,2.82,2.74,2.69,2.63,2.73,3.27,3.47,3.31,3.2,3.1,2.71,2.9,2.63,2.74,2.76,2.78
Philippines,1.75,1.47,1.66,1.82,1.76,1.91,1.98,1.87,1.99,2.31,2.36,2.71,2.36,2.37,2.27,2.28,2.24,2.21,2.18,2.15
Poland,,17.1535,17.3184,17.0378,17.602,17.7376,17.0676,15.6789,17.0214,19.1589,18.6215,17.9895,18.5081,18.2239,15.8531,17.3881,13.8297,13.3021,12.6598,11.3017
Portugal,7.58,8.81,12.4625,11.8944,10.5771,11.3624,11.4894,12.6366,13.0958,13.0762,13.6061,12.257,13.5107,12.5426,13.2074,14.2344,11.3504,11.9579,11.7384,11.46
