country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Honduras,12.26004913,12.4318174,12.35449393,12.46996528,12.32119801,12.33269834,12.36016844,12.34772343,12.22102871,11.90435297,11.67565158,11.14257479,15.63163593,15.45853213,18.98030439,16.39906945,10.35579401,10.60504606,10.850025,11.03027597
Hungary,114.7036896,109.6508068,105.402889,103.0443337,102.6125929,98.82352324,95.31943735,96.4708626,100.4984214,100.3870006,104.0249074,102.6790947,104.4532275,95.82229353,85.92993925,89.03028076,82.18464672,75.73634486,78.00276187,75.23516213
Iceland,98.73169539,101.103568,100.3992944,105.7192933,108.0102854,104.1676374,113.2296286,139.1524381,146.0667962,144.1167565,128.5260551,119.164801,143.0000318,148.4945769,154.9763955,168.7217339,148.1994254,140.8646287,127.0414394,137.1606606
India,67.73817793,66.70034194,65.63760805,64.18604846,67.49323803,68.69911994,68.51810835,65.97216371,64.48089445,62.54949422,61.81679859,61.37740659,60.29962499,60.28756241,54.19670602,58.06605721,53.32818269,54.15551576,57.09735296,58.05667142
Indonesia,13.51257939,13.19923328,12.8703671,12.50950761,12.1318921,11.51951601,11.09144823,10.86096178,10.55698581,10.30990033,10.12978013,10.00942973,9.750457923,9.557235799,9.236602621,9.367816787,9.400388917,9.552998928,9.63028112,9.756498755
Iran (Islamic Republic of),38.80302373,38.4850957,38.08433756,36.29453642,36.03015183,34.51953502,33.99599994,37.67071003,37.33155495,38.3907872,40.7432446,44.12814552,44.12559953,43.25437828,41.05997095,42.27910473,40.8212554,39.9580937,38.05037144,35.32950676
Iraq,12.86973243,13.05155434,13.22993988,13.48455859,13.50712743,13.67985085,14.08024124,13.61783915,13.21395245,14.04667929,14.7940921,15.60091849,16.16569999,16.89244504,16.72576162,16.66120098,16.81392026,16.61613646,15.92820437,15.33081217
Ireland,71.73322862,79.15135552,78.09122549,78.47309218,82.13606178,85.41052147,81.40202184,88.19093678,93.95459701,109.9386557,105.165146,105.4091376,107.0753823,99.68782062,87.71624032,100.9620868,96.38847538,98.49734458,99.52267472,99.61190704
Israel,47.16336105,46.39671596,44.95816436,50.55072647,50.88517797,55.28756104,47.15509111,45.00622761,47.98486337,57.644035,63.95912762,56.24901689,61.4691014,52.35370161,47.47816684,54.12397238,56.68680865,57.10901711,60.54958843,60.57473123
Italy,55.50129908,55.40860449,57.3739946,58.00981352,59.46821278,56.9122956,58.7424018,59.59886825,62.89579194,64.61885982,65.95224789,69.72541468,72.87333403,75.44923859,72.69864931,74.10963517,70.37591665,75.18075373,73.78684142,74.4966181
Jamaica,10.38935339,10.37680129,10.50084969,10.40286133,10.13683452,10.55017387,10.68635004,11.26593728,12.49517167,12.22846586,11.99167417,12.86192835,13.4180996,13.24150798,13.10481709,13.24047348,13.36078185,13.56684384,13.70472951,14.10015255
Japan,209.5643162,208.9488373,220.5289345,240.8381799,229.2909558,235.3099285,239.7449624,253.4693952,250.9345199,260.7886893,253.0385998,248.7318889,237.4377099,239.2296887,221.5006188,229.1584377,200.0059475,197.5457302,198.8084647,185.7424554
Jordan,10.53398967,10.33319909,10.01843478,10.48134096,10.15914321,9.239221368,8.725156173,8.696095453,8.979339454,8.913379999,8.896307681,9.248784336,9.444535392,9.529404086,9.822079092,9.610789536,9.970042716,9.977988557,10.36080521,10.71796651
Kazakhstan,93.36303465,97.06740752,97.66144659,98.49950837,104.9810775,104.305438,104.464242,106.9934149,103.9474989,96.8351161,95.33861604,94.61974794,94.53208605,96.60128403,90.8930588,92.13363218,87.60278216,86.28698326,81.99514603,78.35564572
Kenya,34.27510855,31.77693692,29.54523315,28.17352478,26.40344843,27.15395121,26.98426217,27.85678615,27.42968447,26.88274249,26.74253456,26.56032899,26.72911947,26.89161265,25.9325014,26.34722859,26.14262027,26.94441223,28.51510445,29.10825364
Kiribati,55.7365279,55.87756402,55.71711608,53.44732224,53.58699575,55.24349536,54.37150379,57.35692042,58.61349664,57.97197576,57.9194737,58.40372109,57.18958205,58.26187424,57.4659674,57.27820289,57.33338669,57.68606016,55.09135887,55.63363926
Kuwait,17.25950359,17.0805482,17.04536082,16.29353015,16.77375173,16.83660584,16.9615348,16.95680172,17.87561286,17.77497284,18.57732434,19.11592599,20.25247518,20.98295612,22.46729517,22.07396367,22.78899127,23.11140979,23.63315935,24.46422506
Kyrgyzstan,44.12360134,44.67472504,43.00780946,39.94589027,39.30176267,40.53074616,40.05270052,39.41664759,40.04295521,40.33736508,40.79754722,39.66379056,40.59409068,39.90352223,39.73449802,39.85798573,37.50861023,37.02045402,37.49833601,36.33813843
Lao People's Democratic Republic,21.69635055,21.74896393,21.42990477,21.24325673,21.23172163,21.38219641,21.29249766,21.22954385,21.3213516,21.29233719,21.22033927,21.27908126,20.76791653,20.88939452,20.82970025,20.52462881,20.927598,21.09675391,20.98367903,20.24484707
Latvia,124.2659707,110.7429495,109.0094315,102.9027531,95.10298228,93.29275903,79.74891153,73.02145326,97.04861035,101.1955881,86.41299462,90.0999747,97.56688273,87.6728676,97.9904354,89.33338732,96.54697117,95.97340781,81.44635394,93.01620462
Lebanon,13.84244421,13.54535663,13.45114378,13.34696341,13.38888209,13.34845494,12.28408361,13.91259182,14.10881728,14.39451501,14.55290901,14.49079954,14.18408344,14.20329391,13.54907606,13.34324085,13.28670403,14.58349346,12.64055058,13.94274715
Lesotho,88.74939165,85.75597393,87.45420573,90.55771874,92.70188786,92.1164245,103.0137012,112.0286903,135.8098966,147.4452885,151.4786869,158.2848114,172.9989908,185.3520075,193.095771,192.4788373,187.7464248,177.2484252,176.3190449,169.5053398
Liberia,25.70003447,25.22400819,25.1051475,25.70789886,24.92340865,25.0649753,25.02847978,24.84674033,24.51774161,24.31428177,24.48019552,24.47284273,24.72085008,25.19826312,24.97585852,25.24264557,25.18819461,25.18762237,25.10128539,25.06910906
Libya,25.14499594,26.13610545,27.04272699,27.48569033,24.88884484,24.3618517,23.7966517,25.36722947,28.50138447,30.54138197,31.34345461,28.66808096,32.34689467,27.52037941,30.59855956,34.80920275,26.90523,29.39367701,30.28997922,24.09610041
Lithuania,207.0035875,192.3051003,191.3909841,185.5324953,173.9965327,166.0215981,133.3297521,129.749554,150.4134478,160.5210742,157.0841681,160.7011789,153.0048013,182.1361514,157.0838114,166.3305123,152.890715,149.4965159,138.2306988,135.3509269
Luxembourg,105.8104496,111.4267096,110.5199521,108.0695007,86.7114903,98.32126897,116.7735315,112.8227512,109.8420884,94.79599131,102.1874216,105.9297604,105.2372266,108.6400125,125.1346429,126.9331467,106.7722344,102.5664545,110.2546708,115.595163
Madagascar,20.20928301,20.17259959,20.25099423,20.3058804,20.28514136,20.29113058,20.35837777,20.27336925,20.33601688,20.35208751,20.48268328,20.60937093,20.48620344,20.55506817,20.63971828,20.73521683,20.77944411,20.8643963,20.93127297,21.04934243
